Title,Author,Publisher,Published Date,Description,Thumbnail,Category,Price
Harry Potter à l'école des sorciers,Joanne Kathleen Rowling,Gallimard jeunesse,2023,"Le jour de ses onze ans, Harry Potter, un orphelin élevé par un oncle et une tante qui le détestent, voit son existence bouleversée. Un géant vient le chercher pour l'emmener à Poudlard, une école de sorcellerie ! Voler en balai, jeter des sorts, combattre les trolls : Harry révèle de grands talents. Mais un mystère entoure sa naissance et l'effroyable V., le mage dont personne n'ose prononcer le nom.",http://books.google.com/books/content?id=Uc4L0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Good and evil,$10
A Wizard of Earthsea,Ursula K. Le Guin,Houghton Mifflin Harcourt,2012,"Originally published in 1968, Ursula K. Le Guin's A Wizard of Earthsea marks the first of the six now beloved Earthsea titles. Ged was the greatest sorcerer in Earthsea, but in his youth he was the reckless Sparrowhawk. In his hunger for power and knowledge, he tampered with long-held secrets and loosed a terrible shadow upon the world. This is the tumultuous tale of his testing, how he mastered the mighty words of power, tamed an ancient dragon, and crossed death's threshold to restore the balance.",http://books.google.com/books/content?id=FD72ekYZqIkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Juvenile Fiction,$10
Les Magiciens,Lev Grossman,L'Atalante,2013-02-18,"«Un Harry Potter pour adultes.» The New York Times. «Luxuriant et inventif... Original et passionnant... Les Magiciens est un grand conte de fées.» The Washington Post. Brooklyn. Quentin, dix-sept ans, est un adolescent brillant mais il ronge son frein, prisonnier d’un monde désespérément ennuyeux, en attendant d’intégrer une université de prestige. Comme il regrette le temps de son enfance où les Chroniques de Fillory l’entraînaient dans un univers magique où tromper son ennui! Mais sa vie se transforme le jour où, à sa grande stupeur, il est admis à la faculté de Brakebills , une école extrêmement élitiste et secrète qui forme des magiciens. Cinq années d’un rude et dangereux apprentissage l’y attendent. Mais le monde réel, même revu par la magie, n’apporte pas forcément le bonheur. Ce qu’il faudrait, c’est que l’univers de Fillory, celui des contes de son enfance, ne soit pas un monde imaginaire. Qui sait ?...",http://books.google.com/books/content?id=HUiGAQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,$10
Le secret de la tour,Brigitte Favarger,N/A,2004,Roman d'aventures. Roman de science-fiction (anticipation).,N/A,N/A,$15
Nevermoor - tome 01 : Les défis de Morrigane Crow,Jessica Townsend,12-21,2018-10-04,"Nevermoor, la série phénomène jeunesse vendue dans 36 pays, arrive en France ! Morrigane Crow est née le jour du Merveillon, ce qui signifie deux choses : 1. Elle est maudite. 2. Elle est condamnée à mourir à minuit le jour de ses onze ans. Son cercueil l'attend. Elle est sauvée in extremis par un homme étrange qui l'emmène dans le royaume magique de Nevermoor...",http://books.google.com/books/content?id=HM5tDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,$10
