Frequency (Hz)	Level (dB)
212.402344	-45.306488
213.134766	-44.239624
213.867188	-45.979668
214.599609	-45.801365
215.332031	-44.826397
216.064453	-45.843376
216.796875	-45.382179
217.529297	-44.999996
218.261719	-44.794270
218.994141	-44.734070
219.726562	-44.812431
220.458984	-44.894485
221.191406	-44.571926
221.923828	-43.806957
222.656250	-45.256065
223.388672	-44.778759
224.121094	-44.710121
224.853516	-44.713356
225.585938	-44.102997
226.318359	-45.218822
227.050781	-44.781715
227.783203	-43.713516
228.515625	-44.297394
229.248047	-43.752239
229.980469	-42.603157
230.712891	-42.577042
231.445312	-40.811947
232.177734	-40.262932
232.910156	-40.254490
233.642578	-40.491467
234.375000	-40.153969
235.107422	-40.414207
235.839844	-40.702885
236.572266	-41.129169
237.304688	-41.769001
238.037109	-41.415371
238.769531	-41.040333
239.501953	-41.685612
240.234375	-40.928116
240.966797	-41.699646
241.699219	-41.318874
242.431641	-39.794376
243.164062	-39.047127
243.896484	-38.596592
244.628906	-38.722225
245.361328	-38.961800
246.093750	-39.277882
246.826172	-38.823071
247.558594	-38.817646
248.291016	-39.125450
249.023438	-39.452522
249.755859	-40.377876
250.488281	-39.487438
251.220703	-38.472839
251.953125	-38.195011
252.685547	-38.536373
253.417969	-37.378811
254.150391	-36.868107
254.882812	-35.691628
255.615234	-36.976429
256.347656	-36.629158
257.080078	-35.326202
257.812500	-33.567184
258.544922	-35.689495
259.277344	-36.250214
260.009766	-34.957901
260.742188	-34.201900
261.474609	-33.931244
262.207031	-32.574474
262.939453	-34.948929
263.671875	-35.369709
264.404297	-34.773109
265.136719	-33.549442
265.869141	-34.547153
266.601562	-33.824402
267.333984	-34.350735
268.066406	-34.794861
268.798828	-33.651257
269.531250	-33.067291
270.263672	-33.656498
270.996094	-32.884075
271.728516	-32.563244
272.460938	-34.069233
273.193359	-34.513149
273.925781	-34.972702
274.658203	-33.098274
275.390625	-33.342407
276.123047	-33.151749
276.855469	-31.409769
277.587891	-30.924330
278.320312	-32.730083
279.052734	-33.630592
279.785156	-33.129314
280.517578	-35.197464
281.250000	-35.153713
281.982422	-35.020931
282.714844	-34.823963
283.447266	-35.778534
284.179688	-35.460297
284.912109	-35.653412
285.644531	-35.660381
286.376953	-36.444359
